=== s1.png ===
[0.371,0.574 0.062x0.021] CRITICAL HIT
[0.371,0.529 0.039x0.027] DAMAGE
[0.371,0.504 0.038x0.028] CHANCE
[0.426,0.656 0.042x0.021] 224+361
[0.430,0.527 0.038x0.027] +100%
[0.442,0.504 0.028x0.028] 10%
[0.504,0.700 0.093x0.021] DAMAGE REDUCTION
[0.504,0.654 0.041x0.023] PHYSICAL
[0.564,0.654 0.026x0.023] 40%
[0.504,0.630 0.026x0.023] DARK
[0.564,0.630 0.026x0.023] 20%
[0.504,0.610 0.030x0.021] DIVINE
[0.564,0.610 0.026x0.021] 20%
[0.503,0.574 0.086x0.021] ATIRIBUTE BONUS
[0.503,0.529 0.071x0.025] FROM SIRENGTH
[0.503,0.503 0.077x0.027] FROM ENDURANCE
[0.503,0.479 0.071x0.026] FROM PRECISION
[0.503,0.457 0.060x0.025] FROM WRATH
[0.047,0.403 0.042x0.026] SPEARS
[0.052,0.359 0.016x0.021] 10
[0.375,0.354 0.012x0.026] "
[0.398,0.357 0.044x0.021] SELECT
[0.134,0.274 0.028x0.018] EQUIF
[0.007,0.025 0.015x0.016] ESC
[0.026,0.020 0.037x0.022] BACK
